team,fg2a,fg2_pct,fg3a,fg3_pct,fta,ft_pct,orb,drb,ast,stl,blk,tov,pts,ranker,ap_rank,wins,losses,opp_pts_per_g,sos,srs,off_rtg,def_rtg,avg_pts,avg_opp_pts,avg_srs,num_home_games,num_away_games,wins_last5
michigan,924,0.626,675,0.361,638,0.734,302,776,508,157,158,318,2356,1,1,25,1,68.8,12.9,34.75,129.04,83.22,91.2,68.2,15.264,2,3,5
duke,850,0.62,662,0.349,574,0.714,307,722,442,213,90,280,2157,2,3,24,2,63.2,10.72,30.53,127.57,85.53,74.6,58.4,11.758,3,2,4
arizona,1186,0.56,432,0.356,673,0.73,344,791,460,217,115,293,2281,3,4,24,2,68.6,10.54,29.69,124.88,85.65,79.8,69.8,18.31,3,2,3
illinois,812,0.58,844,0.359,555,0.791,355,756,399,101,132,246,2290,4,10,22,5,68.1,11.24,27.99,132.69,93.14,85.6,67.4,16.994,3,2,3
iowa-state,968,0.57,590,0.398,550,0.665,312,634,470,229,77,274,2175,5,6,23,3,64.6,8.21,27.25,126.2,89.44,73.2,63.0,17.740000000000002,3,2,4
florida,1034,0.58,653,0.294,656,0.704,427,770,422,175,129,307,2238,6,12,20,6,71.1,12.12,27.12,123.55,87.71,88.0,71.0,17.594,3,2,5
gonzaga,1274,0.59,537,0.341,563,0.698,346,799,519,251,99,276,2446,7,11,26,2,66.9,5.85,26.28,123.02,87.98,83.6,69.2,4.826,1,4,4
houston,941,0.532,680,0.341,424,0.769,342,619,398,209,102,213,2024,8,2,23,3,61.6,9.58,25.81,123.27,86.65,73.4,61.4,16.096,2,3,4
purdue,937,0.581,640,0.375,453,0.746,297,656,508,154,75,239,2146,9,7,21,5,69.5,12.65,25.73,129.76,93.95,79.8,70.4,17.894,2,3,4
louisville,758,0.6,850,0.358,563,0.773,308,727,465,182,88,306,2257,10,21,19,7,71.8,10.35,25.31,126.25,92.84,89.8,77.6,15.748,3,2,4
michigan-state,962,0.536,571,0.354,546,0.758,338,730,484,142,113,310,2052,11,15,21,5,66.4,11.53,24.06,121.64,88.09,76.4,78.4,21.448,3,2,2
vanderbilt,891,0.579,718,0.361,617,0.78,279,668,437,225,130,253,2290,12,19,21,5,73.9,9.29,23.49,124.79,94.12,81.6,77.2,14.041999999999998,3,2,3
arkansas,1082,0.572,581,0.377,592,0.742,285,654,447,190,139,236,2334,13,20,19,7,78.0,11.54,23.27,127.71,97.19,91.8,81.4,16.962,2,3,3
kansas,967,0.535,547,0.358,505,0.766,246,765,388,140,160,274,2009,14,8,20,6,68.0,14.03,23.26,120.12,88.24,70.8,68.2,19.758,2,3,4
connecticut,964,0.567,639,0.368,496,0.698,306,677,503,192,144,292,2145,15,5,24,3,66.1,9.91,23.24,122.11,90.3,81.4,75.4,12.312000000000001,3,2,3
alabama,800,0.579,926,0.357,646,0.762,316,759,433,170,142,259,2411,16,25,19,7,83.9,14.37,23.18,127.38,97.42,99.0,90.6,15.254,3,2,5
nebraska,755,0.587,787,0.356,407,0.762,220,693,470,188,70,248,2036,17,9,22,4,65.6,10.06,22.75,120.09,88.54,69.2,66.4,17.81,3,2,2
tennessee,1054,0.531,518,0.349,647,0.699,410,708,460,196,91,323,2115,18,,19,7,69.2,10.48,22.67,121.48,90.9,78.0,66.6,13.113999999999999,3,2,4
texas-tech,859,0.53,760,0.389,449,0.71,313,666,417,164,93,279,2117,19,13,19,7,72.3,13.44,22.52,123.94,93.53,70.8,63.6,17.536,2,3,3
brigham-young,974,0.568,650,0.355,579,0.744,320,700,375,197,125,277,2230,20,23,19,7,74.5,11.11,22.34,124.98,95.57,83.0,86.2,18.732,2,3,2
north-carolina-state,924,0.543,720,0.396,567,0.762,257,694,438,225,87,255,2291,22,,19,8,73.8,9.78,20.85,125.28,97.32,80.2,81.8,18.863999999999997,3,2,3
virginia,865,0.553,740,0.355,549,0.699,374,719,440,175,154,284,2129,23,14,23,3,67.4,6.29,20.75,121.83,92.96,72.8,59.6,9.832,3,2,5
saint-louis,868,0.608,725,0.408,544,0.737,280,809,497,196,88,323,2345,24,18,24,2,67.8,0.38,20.38,122.03,95.79,87.4,70.2,1.128,2,3,4
kentucky,947,0.547,621,0.351,596,0.72,312,678,417,186,123,269,2119,25,,17,9,72.7,11.52,20.32,122.49,95.57,82.8,80.8,20.918,3,2,3
utah-state,906,0.615,617,0.366,563,0.71,291,631,468,232,83,283,2192,26,,23,3,68.6,5.78,19.86,123.3,95.8,87.2,71.6,9.382,3,2,5
iowa,830,0.584,567,0.363,510,0.771,237,547,394,187,58,251,1981,27,,19,7,64.4,7.82,19.63,123.65,95.96,68.8,70.2,15.854,3,2,3
north-carolina,899,0.57,662,0.335,596,0.693,293,716,430,143,90,244,2103,28,16,20,6,70.9,9.35,19.35,120.44,95.09,72.2,73.4,17.544,3,2,3
southern-methodist,1073,0.56,567,0.381,524,0.763,311,672,462,194,100,297,2250,29,,18,8,77.8,10.52,19.22,123.56,99.44,86.2,79.2,15.001999999999999,3,2,3
georgia,986,0.574,751,0.322,651,0.747,359,670,384,224,168,284,2344,30,,18,8,78.3,7.38,19.19,121.3,97.91,78.0,84.2,18.2,2,3,2
st-johns-ny,1063,0.518,551,0.345,708,0.723,352,657,415,210,124,280,2184,21,17,21,5,72.0,9.76,21.76,120.0,91.5,78.2,69.8,11.65,2,3,5
