team,composite_score,predicted_seed,rank_overall
arizona,509.52506503948894,1,1
duke,489.46314719672915,1,2
houston,469.8598232496368,1,3
michigan,489.475578856793,1,4
gonzaga,447.04859997672344,2,5
florida,453.44865305276767,2,6
iowa-state,466.95588899949325,2,7
purdue,463.05697247710054,2,8
connecticut,412.8659987922639,3,9
virginia,406.3950279150202,3,10
st-johns-ny,427.63229134053176,3,11
arkansas,421.7265765881277,3,12
alabama,393.24454931695647,4,13
illinois,395.060291744372,4,14
vanderbilt,405.3187410614355,4,15
tennessee,384.2235407319417,4,16
nebraska,359.0269635764713,5,17
utah-state,353.7884288270807,5,18
louisville,337.73314633937906,5,19
michigan-state,371.4417323607601,5,20
kansas,319.9063561920413,6,21
kentucky,335.4209182129527,6,22
wisconsin,321.2926544364913,6,23
south-florida,324.8494558299198,6,24
miami-fl,315.3704752487592,7,25
santa-clara,313.2944307600946,7,26
georgia,313.9393020485259,7,27
brigham-young,317.33197757588056,7,28
texas-tech,300.5754927792635,8,29
saint-louis,312.3150121167464,8,30
ucla,312.02706078932425,8,31
texas-am,294.82358939864804,8,32
texas-christian,288.94970219547014,9,33
high-point,283.76429944221076,9,34
north-carolina-state,292.17417938252567,9,35
north-carolina,292.48006664352584,9,36
iowa,271.1559118633798,10,37
virginia-commonwealth,262.9647962131472,10,38
saint-marys-ca,278.20889247362464,10,39
southern-methodist,259.4846872965621,10,40
ohio-state,234.19597451424684,11,41
villanova,239.5857940559308,11,42
akron,223.57028961817832,11,43
clemson,248.20013566358807,11,44
texas,230.43017859050892,11,45
mcneese-state,235.6747732969879,11,46
miami-oh,158.85240650198065,12,47
missouri,160.01286668611783,12,48
central-florida,187.8917639331331,12,49
northern-iowa,169.41721629305755,12,50
hofstra,108.10901641975164,13,51
north-dakota-state,120.12693804060211,13,52
hawaii,69.2434004502505,13,53
kennesaw-state,97.12792365284619,13,54
wright-state,69.1430026162912,14,55
california-baptist,30.419846820731067,14,56
troy,53.69065210613947,14,57
idaho,30.567266515784098,14,58
howard,-5.078235820584197,15,59
tennessee-state,-9.209826832086776,15,60
pennsylvania,-8.782936520149676,15,61
queens-nc,-13.177889757148534,15,62
lehigh,-162.55112082342478,16,63
furman,-14.236487499007254,16,64
long-island-university,-35.344801229419545,16,65
siena,-15.053641101724779,16,66
prairie-view,-97.52253303292889,16,67
maryland-baltimore-county,-68.53106773168061,16,68
